element,level,t,r,theta,phi,Interval size,Height,D
11213,12,5.666718313613833,0.9243224172061144,-1.338188418911906,2.4074480974545405,15708,10,4
11309,12,5.6901365341599375,1.3210927349370791,-1.0398125195895191,2.176737582497035,15708,10,4
11862,12,5.832000478499294,1.603941660743236,2.0312273195717325,0.58430484298571,15708,10,4
11782,13,5.809984985485687,1.8324754409759687,3.084245890671932,1.5093422685015416,15708,10,4
12040,13,5.875634309596906,1.8716228085052864,1.6747338254988091,0.3643567710914312,15708,10,4
12133,13,5.902047025894438,1.1976333555307004,1.2058717385762752,0.6064777880365732,15708,10,4
12545,13,6.0325021556109935,1.3819808071133282,-1.1298106466207067,1.9457164643169051,15708,10,4
12642,13,6.066521545045001,1.401534592999598,1.3210697756350016,0.4296544099374593,15708,10,4
12677,13,6.078907435441097,0.8148287047851838,-1.345106585079607,2.1338454416547297,15708,10,4
12939,13,6.160126929495063,0.6412604557565688,-2.4477121892769276,1.256523573345119,15708,10,4
13022,13,6.190065078938454,1.4123188293062428,2.22002473271631,0.4588812368947267,15708,10,4
13355,13,6.309464379333207,0.9211802066942172,-1.785871658567004,2.0395395883372185,15708,10,4
12785,14,6.112020599992278,1.2101011597540852,1.237294039093256,0.5983629819300816,15708,10,4
12975,14,6.170628610717113,1.5760251925815596,2.9480894198073497,1.5126418024657884,15708,10,4
13190,14,6.250901699806173,0.6692619556912832,-2.395797729037119,1.1398558351519552,15708,10,4
13253,14,6.269394036063064,1.532390267392804,1.5464297831689757,0.45573882132588955,15708,10,4
13444,14,6.339613042842412,1.3534129639578476,-1.0688591935251521,2.104218468705301,15708,10,4
13501,14,6.364765454812647,0.7352115198953963,-1.2637931085146572,1.938741383956171,15708,10,4
13701,14,6.445351376543947,1.0080459073683095,-1.7149425476824431,2.0059433695993936,15708,10,4
13824,14,6.500119952384519,1.1918840806259092,2.066317622143671,0.5402235967688158,15708,10,4
13993,14,6.577038963114033,0.8570037238039061,-1.0252790168254728,1.7350142572022922,15708,10,4
13422,15,6.331919228896056,1.4476572622067512,2.9158411723181916,1.5384324955801567,15708,10,4
14156,15,6.665148534904626,0.5951234789683902,-2.18676821287302,1.736969731912319,15708,10,4
14283,15,6.741581451808382,0.7170462096721264,-1.8071078863877152,1.493376485382348,15708,10,4
14481,15,6.876092456296248,1.2222679845911062,1.7500871475233715,0.4837380606461435,15708,10,4
14718,15,7.040650485332476,0.8496341006352256,-1.439682087880029,2.094503642823697,15708,10,4
14350,16,6.793291047539041,1.1255190277230502,2.8930466368430845,1.6731529378345882,15708,10,4
14691,16,7.021704471531618,0.966771233505754,2.684576547357135,1.5516835990564997,15708,10,4
14894,16,7.180121473632079,1.066167218848026,1.9029723919797585,0.5323638270182688,15708,10,4
14976,16,7.259638504050806,0.7995165195738204,-1.7023256200553705,2.087664883255996,15708,10,4
