element,level,t,r,theta,phi,pred spherical_coordinates_N1675k.csv
1668842,69,0.8512046855902058,0.08206824672969516,2.0885005296154633,0.6417869963499483,[1666902]
1670691,70,0.8626814185937506,0.07837700725283012,2.009582938274217,0.51738608388825,[1668842]
1672649,71,0.8795898672718004,0.07414544954693376,1.894390667967399,0.4495730099396463,[1670691]
1673477,72,0.8893049792825326,0.07077168148328288,1.9035864784379737,0.5585698075447342,[1672649]
1674038,73,0.8980692167722414,0.07226372234923524,1.866540894519713,0.6440525813367566,[1673477]
1674456,73,0.9063692671649829,0.0579430556091544,2.0888853539165884,0.6668725318720211,[1673477]
1674683,73,0.9116777903946056,0.06111040887942975,2.2293192322742144,0.7522622317590212,[1673477]
1674542,74,0.9085213900202936,0.07541828919558004,2.0734470241121485,0.5864998477035228,[1674038]
1674613,74,0.909877640961861,0.07041775106367495,2.026422803901811,0.6227169159627278,[1674038]
1674766,74,0.9145978234135217,0.05752039517670941,1.8309296617548572,0.5536348760932965,[1674038]
1674975,74,0.9220626314089008,0.05826065926871972,2.185245262920653,0.6918498529876183,[1674038 1674456 1674683]
1675164,75,0.930906166651258,0.055934270885503096,2.2046945726937635,0.47009158839701437,[1674542 1674613 1674766]
1675230,75,0.9347933244542471,0.05197829612737243,2.1584093973630862,0.7448629971941861,[1674542 1674613 1674766 1674975]
1675324,76,0.9415976206551644,0.046336918866513276,2.175474650849782,0.7481165316508185,[1675230]
1675366,76,0.9467676007790589,0.04724124496767473,2.40801339520215,0.6846894503907072,[1675164 1675230]
1675434,77,0.9578318005503416,0.03784638906584691,2.3945855526931723,0.5567327087078883,[1675324 1675366]
1675437,78,0.9596165597668672,0.0387161792161977,2.367603726785605,0.5928099532479806,[1675434]
1675471,79,1.0,0.0,0,0,[1675437]
0,0,0.0,0.0,0,0,[]
2,1,0.01570802249447034,0.011956793102561555,0.2552813781780223,2.010872126602897,[0]
7,2,0.02815181789162924,0.018966552496381593,0.404031039126115,1.340171070340201,[2]
8,2,0.028688274842649464,0.011070426927064605,0.9380515759407038,2.3908042460819177,[2]
23,3,0.03936054245242193,0.013518657877930397,1.6052759574978313,2.1058950575350006,[8]
38,3,0.0430672495107598,0.018038241570579483,0.234537061023591,1.2769074411298904,[7]
46,3,0.044169246262470985,0.019029548501348387,0.8379652091932185,1.7424579811395582,[7 8]
98,3,0.05157507082719914,0.02883831941731868,1.2123657847999698,2.0039265212931543,[8]
96,4,0.051484880361064245,0.020631519588834496,1.4713403428264198,1.7265207889426093,[23]
103,4,0.05269693486083904,0.02216576877829627,0.8705966562857425,2.0589295928750895,[46]
152,4,0.05714788263955195,0.022168855337039658,0.5896346711613817,1.4892185196639502,[38 46]
244,4,0.06347425167232346,0.03154135745086176,1.265399645733055,2.0160321854003835,[23 46 98]
